t=2025-12-29T22:21:25+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-29T22:21:25+0530 lvl=info msg="using configuration at default config path" path="/Users/jayanth/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-29T22:21:25+0530 lvl=info msg="open config file" path="/Users/jayanth/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-29T22:21:25+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-29T22:21:26+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-12-29T22:21:26+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-12-29T22:39:21+0530 lvl=info msg="join connections" obj=join id=0d197576780c l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59634
t=2025-12-29T22:39:22+0530 lvl=info msg="join connections" obj=join id=e18d24df9468 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59634
t=2025-12-29T22:39:35+0530 lvl=info msg="join connections" obj=join id=67a4fb5ceefc l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59659
t=2025-12-29T22:39:41+0530 lvl=info msg="join connections" obj=join id=a3bfc47d046e l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59666
t=2025-12-29T22:39:44+0530 lvl=info msg="join connections" obj=join id=8b1e175c0384 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59675
t=2025-12-29T22:39:44+0530 lvl=info msg="join connections" obj=join id=341b1dc061a1 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59678
t=2025-12-29T22:39:50+0530 lvl=info msg="join connections" obj=join id=108ddb20b6fd l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59678
t=2025-12-29T22:40:25+0530 lvl=info msg="join connections" obj=join id=417d06af1ab3 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59709
t=2025-12-29T22:40:25+0530 lvl=info msg="join connections" obj=join id=1c7fced18a92 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59709
t=2025-12-29T22:40:25+0530 lvl=info msg="join connections" obj=join id=32e9499786c1 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59709
t=2025-12-29T22:40:37+0530 lvl=info msg="join connections" obj=join id=7a92b8d7d62d l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59720
